timestamp,protocol,src_ip,src_port,dst_ip,dst_port,prediction
2024-07-06 16:44:22.377608,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.388697,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.418904,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.420158,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.425552,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.426151,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.436352,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450484,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450497,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450506,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450507,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450556,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450559,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450560,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450561,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450703,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450710,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450712,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450714,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.450765,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.451790,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.451868,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.453062,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.463987,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
2024-07-06 16:44:22.465032,UDP,192.168.1.2,36162,142.250.178.4,443,1.0
2024-07-06 16:44:22.476027,UDP,142.250.178.4,443,192.168.1.2,36162,0.0
